"trial","ref_position","var_area","response","correct","rt"
1,"L",13.4182067890652,"R",TRUE,3.18999981880188
2,"L",9.43229393311776,"R",TRUE,6.30900001525879
3,"L",13.0549332567025,"R",TRUE,1.87899994850159
4,"R",8.5556950182654,"R",TRUE,1.69600009918213
5,"R",14.0966646594461,"L",TRUE,1.37099981307983
6,"R",11.2763513415121,"L",TRUE,1.6710000038147
7,"L",11.7166894825641,"R",TRUE,1.57299995422363
8,"L",12.6081166600343,"R",TRUE,1.08400011062622
9,"L",9.68908203206956,"R",TRUE,2.0860002040863
10,"R",8.53560378146358,"R",TRUE,2.38300013542175
11,"L",13.7054571397603,"R",TRUE,1.07599997520447
12,"R",9.8277836421039,"L",TRUE,1.97699999809265
13,"R",14.2502635221463,"L",TRUE,1.17899990081787
14,"R",12.437927097315,"L",TRUE,1.27900004386902
15,"R",14.0346572860144,"L",TRUE,0.977999925613403
16,"L",14.3483373166528,"R",TRUE,0.976999998092651
17,"R",14.8869290354196,"L",TRUE,1.07800006866455
18,"R",13.4809618138243,"L",TRUE,1.17499995231628
19,"L",14.1002512243576,"R",TRUE,1.07599997520447
20,"R",8.40871258801781,"L",FALSE,1.78299999237061
21,"R",13.8808484168258,"L",TRUE,0.879999876022339
22,"R",10.2893889164552,"R",FALSE,1.0719997882843
23,"R",13.1695740455762,"L",TRUE,0.878999948501587
24,"R",10.0450322325341,"R",FALSE,1.07500004768372
25,"R",11.3534313014243,"L",TRUE,0.97599983215332
